Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
1.02347,1.00077,1.09686,1.06416,1.07586,1.07588,1.00585,1.04909,1.00084,0.996304,1.02812,0.982364,1.02518,0.992633,0.993326,0.989695,1.00171,0.999515,0.997253,0.974303,0.989738,1.01650
1.02335,1.00497,1.07968,1.06736,1.07796,1.04535,1.00003,1.04398,1.00201,0.986745,1.01885,1.00099,1.02492,1.01876,0.996373,0.990372,1.00817,0.996360,1.00252,0.989267,0.990095,1.02566
1.02369,1.00438,1.07468,1.05035,1.06258,1.04225,0.995223,1.04030,1.00172,0.989664,1.01723,1.01148,1.02378,1.02279,0.995599,0.992492,1.00517,0.981436,1.00378,0.992281,0.990931,1.02689
1.02103,1.00116,1.06804,1.03187,1.04454,1.04225,0.990844,1.03610,0.994000,0.990065,1.01276,1.01045,1.01907,1.01034,0.992600,0.989489,0.996584,0.964894,0.999370,0.985577,0.987510,1.02167
1.01694,1.00180,1.06250,1.02836,1.03937,1.03691,0.988853,1.03594,0.995829,0.988817,1.01089,1.00599,1.01819,1.00132,0.992842,0.989135,0.992983,0.962346,0.992480,0.986999,0.986317,1.01563
1.00766,1.00323,1.05360,1.02312,1.02790,1.02556,0.985240,1.03322,0.999597,0.987757,1.00559,0.998168,1.01642,0.997159,0.992455,0.989842,0.988643,0.965339,0.986626,0.989098,0.986158,1.00491
0.994268,1.00038,1.02890,1.00362,1.00594,1.00006,0.974767,1.01777,0.993561,0.980388,0.987905,0.987061,1.01202,0.984474,0.986845,0.983570,0.977379,0.960081,0.975865,0.975386,0.982538,0.989943
0.982265,0.997704,1.00225,0.989038,0.991749,0.980878,0.968121,0.996671,0.986609,0.971253,0.975562,0.976470,1.00751,0.973342,0.983556,0.976563,0.968145,0.956198,0.969831,0.962419,0.979714,0.979122
0.976788,0.996408,0.987515,0.984455,0.985457,0.976811,0.965396,0.986298,0.985255,0.967486,0.970426,0.972501,1.00347,0.970732,0.983169,0.973618,0.968561,0.960566,0.967489,0.964789,0.979276,0.973379
0.974547,0.995178,0.982323,0.982927,0.982660,0.973107,0.965151,0.982484,0.984743,0.966992,0.970178,0.971938,1.00140,0.970666,0.981621,0.972352,0.972624,0.964975,0.967984,0.969055,0.980549,0.971487
0.972560,0.988534,0.977589,0.975499,0.978045,0.969283,0.964110,0.975375,0.976731,0.963342,0.965953,0.967241,0.996269,0.965744,0.974415,0.966375,0.966299,0.961011,0.965148,0.959981,0.976134,0.968035
